sample1;;sample2;
Wavelength (nm);Abs;Wavelength (nm);%R
Baseline Type                     Baseline correction;;;
Baseline File Name;;;
Baseline Std Ref File Name;;;
Cycle Mode                        Off;;;
Comments;;;
Method Log     :;;;
Method Name    :;;;
Date/Time stamp: 19/07/2025 11:45:35;;;
Method Modifications:;;;
Auto Lamps Off Changed: 19/07/2025 12:00:26; Old:0; New:1;
Baseline Correction Changed: 19/07/2025 12:00:26; Old:0; New:1;
Y mode Changed: 19/07/2025 12:51:46; Old:Abs; New:%R;
End Method Modifications;;;
<SBW (nm)> ; 2.00;;
<Energy> ; 171.00;;
<Current Wavelength> ; 200.00;;
